SurgeryType,Vocabulary,Code
ColorecResect,ICD10PCS,0DTM0ZZ
ColorecResect,ICD10PCS,0DTH4ZZ
ColorecResect,ICD10PCS,0DTH0ZZ
ColorecResect,ICD10PCS,0DTM8ZZ
ColorecResect,ICD10PCS,0DTL0ZZ
ColorecResect,ICD10PCS,0DTN0ZZ
ColorecResect,ICD10PCS,0DTN4ZZ
ColorecResect,ICD10PCS,0DTE7ZZ
ColorecResect,ICD10PCS,0DTL7ZZ
ColorecResect,ICD10PCS,0DTH8ZZ
ColorecResect,ICD10PCS,0DTE8ZZ
ColorecResect,ICD10PCS,0DTM7ZZ
ColorecResect,ICD10PCS,0DTE4ZZ
ColorecResect,ICD10PCS,0DTF0ZZ
ColorecResect,ICD10PCS,0DTL4ZZ
ColorecResect,ICD10PCS,0DTN7ZZ
ColorecResect,ICD10PCS,0DTK7ZZ
ColorecResect,ICD10PCS,0DTL8ZZ
ColorecResect,ICD10PCS,0DTP8ZZ
ColorecResect,ICD10PCS,0DTG4ZZ
ColorecResect,ICD10PCS,0DTG7ZZ
ColorecResect,ICD10PCS,0DTK4ZZ
ColorecResect,ICD10PCS,0DTM4ZZ
ColorecResect,ICD10PCS,0DTNFZZ
ColorecResect,ICD10PCS,0DTMFZZ
ColorecResect,ICD10PCS,0DTGFZZ
ColorecResect,ICD10PCS,0DTP0ZZ
ColorecResect,ICD10PCS,0DTN8ZZ
ColorecResect,ICD10PCS,0DTF7ZZ
ColorecResect,ICD10PCS,0DTG0ZZ
ColorecResect,ICD10PCS,0DTP4ZZ
ColorecResect,ICD10PCS,0DTG8ZZ
ColorecResect,ICD10PCS,0DTLFZZ
ColorecResect,ICD10PCS,0DTP7ZZ
laminectomy,CPT,62575
laminectomy,CPT,62851
laminectomy,CPT,62465
laminectomy,CPT,62999
laminectomy,CPT,63021
laminectomy,CPT,62698
laminectomy,CPT,62968
laminectomy,CPT,63133
laminectomy,CPT,63020
laminectomy,CPT,62489
laminectomy,CPT,62664
laminectomy,CPT,62817
laminectomy,CPT,62717
laminectomy,CPT,62390
laminectomy,CPT,62405
laminectomy,CPT,62427
laminectomy,CPT,63011
laminectomy,CPT,62749
laminectomy,CPT,63068
laminectomy,CPT,62726
laminectomy,CPT,62626
laminectomy,CPT,62674
laminectomy,CPT,62751
laminectomy,CPT,62508
laminectomy,CPT,63002
laminectomy,CPT,62578
laminectomy,CPT,62588
laminectomy,CPT,62422
laminectomy,CPT,63102
laminectomy,CPT,63093
laminectomy,CPT,63205
laminectomy,CPT,62693
laminectomy,CPT,62604
laminectomy,CPT,62719
laminectomy,CPT,62744
laminectomy,CPT,63035
laminectomy,CPT,62821
laminectomy,CPT,62677
laminectomy,CPT,62714
laminectomy,CPT,63033
laminectomy,CPT,62406
laminectomy,CPT,63246
laminectomy,CPT,62498
laminectomy,CPT,63217
laminectomy,CPT,62982
laminectomy,CPT,63010
laminectomy,CPT,63022
laminectomy,CPT,63128
laminectomy,CPT,62430
laminectomy,CPT,63218
laminectomy,CPT,62511
laminectomy,CPT,63066
laminectomy,CPT,63243
laminectomy,CPT,62641
laminectomy,CPT,62794
laminectomy,CPT,62745
laminectomy,CPT,63051
laminectomy,CPT,62785
laminectomy,CPT,62616
laminectomy,CPT,62868
laminectomy,CPT,63116
laminectomy,CPT,62787
laminectomy,CPT,63236
laminectomy,CPT,63245
laminectomy,CPT,62768
laminectomy,CPT,63062
laminectomy,CPT,62467
laminectomy,CPT,62980
laminectomy,CPT,62579
laminectomy,CPT,62867
laminectomy,CPT,62943
laminectomy,CPT,62917
laminectomy,CPT,62505
laminectomy,CPT,62547
laminectomy,CPT,63056
laminectomy,CPT,63082
laminectomy,CPT,62438
laminectomy,CPT,62810
laminectomy,CPT,63183
laminectomy,CPT,63097
laminectomy,CPT,62977
laminectomy,CPT,62774
laminectomy,CPT,62416
laminectomy,CPT,62654
laminectomy,CPT,62585
laminectomy,CPT,62663
laminectomy,CPT,63126
laminectomy,CPT,62945
laminectomy,CPT,63069
laminectomy,CPT,63242
laminectomy,CPT,62796
laminectomy,CPT,62675
laminectomy,CPT,63156
laminectomy,CPT,62889
laminectomy,CPT,62769
laminectomy,CPT,62898
laminectomy,CPT,62910
laminectomy,CPT,62630
laminectomy,CPT,63171
laminectomy,CPT,63192
laminectomy,CPT,62590
laminectomy,CPT,62545
laminectomy,CPT,62653
laminectomy,CPT,62989
laminectomy,CPT,62565
laminectomy,CPT,62823
laminectomy,CPT,63061
laminectomy,CPT,62686
laminectomy,CPT,62661
laminectomy,CPT,62895
laminectomy,CPT,63028
laminectomy,CPT,63182
laminectomy,CPT,62731
laminectomy,CPT,63165
laminectomy,CPT,62665
laminectomy,CPT,63232
laminectomy,CPT,62964
laminectomy,CPT,62534
laminectomy,CPT,62724
laminectomy,CPT,62678
laminectomy,CPT,62494
laminectomy,CPT,62806
laminectomy,CPT,63213
laminectomy,CPT,63103
laminectomy,CPT,63164
laminectomy,CPT,62856
laminectomy,CPT,62475
laminectomy,CPT,63095
laminectomy,CPT,63139
laminectomy,CPT,62515
laminectomy,CPT,62736
laminectomy,CPT,62818
laminectomy,CPT,63070
laminectomy,CPT,62779
laminectomy,CPT,63058
laminectomy,CPT,62671
laminectomy,CPT,63176
laminectomy,CPT,62885
laminectomy,CPT,62624
laminectomy,CPT,63229
laminectomy,CPT,62778
laminectomy,CPT,63049
laminectomy,CPT,62483
laminectomy,CPT,62929
laminectomy,CPT,62994
laminectomy,CPT,62947
laminectomy,CPT,62962
laminectomy,CPT,63189
laminectomy,CPT,62816
laminectomy,CPT,62660
laminectomy,CPT,63185
laminectomy,CPT,62992
laminectomy,CPT,62730
laminectomy,CPT,62509
laminectomy,CPT,62797
laminectomy,CPT,62517
laminectomy,CPT,62830
laminectomy,CPT,62836
laminectomy,CPT,C9729
laminectomy,CPT,63039
laminectomy,CPT,62894
laminectomy,CPT,62655
laminectomy,CPT,63121
laminectomy,CPT,63146
laminectomy,CPT,62657
laminectomy,CPT,62801
laminectomy,CPT,63003
laminectomy,CPT,62617
laminectomy,CPT,63108
laminectomy,CPT,62839
laminectomy,CPT,63032
laminectomy,CPT,62592
laminectomy,CPT,62441
laminectomy,CPT,62431
laminectomy,CPT,62946
laminectomy,CPT,62542
laminectomy,CPT,62781
laminectomy,CPT,63179
laminectomy,CPT,62519
laminectomy,CPT,63230
laminectomy,CPT,62827
laminectomy,CPT,63086
laminectomy,CPT,62988
laminectomy,CPT,62875
laminectomy,CPT,62609
laminectomy,CPT,62951
laminectomy,CPT,62552
laminectomy,CPT,62706
laminectomy,CPT,62860
laminectomy,CPT,62530
laminectomy,CPT,63130
laminectomy,CPT,62503
laminectomy,CPT,62803
laminectomy,CPT,62687
laminectomy,CPT,63134
laminectomy,CPT,62862
laminectomy,CPT,62391
laminectomy,CPT,62628
laminectomy,CPT,63041
laminectomy,CPT,62692
laminectomy,CPT,62597
laminectomy,CPT,62741
laminectomy,CPT,63138
laminectomy,CPT,63204
laminectomy,CPT,63027
laminectomy,CPT,62914
laminectomy,CPT,62695
laminectomy,CPT,62775
laminectomy,CPT,63109
laminectomy,CPT,62760
laminectomy,CPT,62963
laminectomy,CPT,62672
laminectomy,CPT,62965
laminectomy,CPT,62777
laminectomy,CPT,62381
laminectomy,CPT,62828
laminectomy,CPT,62538
laminectomy,CPT,63199
laminectomy,CPT,63237
laminectomy,CPT,62622
laminectomy,CPT,63099
laminectomy,CPT,63709
laminectomy,CPT,62805
laminectomy,CPT,63071
laminectomy,CPT,62587
laminectomy,CPT,62770
laminectomy,CPT,62891
laminectomy,CPT,62971
laminectomy,CPT,62451
laminectomy,CPT,63076
laminectomy,CPT,62766
laminectomy,CPT,62562
laminectomy,CPT,63083
laminectomy,CPT,62478
laminectomy,CPT,62905
laminectomy,CPT,62603
laminectomy,CPT,62944
laminectomy,CPT,63222
laminectomy,CPT,63142
laminectomy,CPT,63122
laminectomy,CPT,62466
laminectomy,CPT,62866
laminectomy,CPT,62583
laminectomy,CPT,62408
laminectomy,CPT,62287
laminectomy,CPT,62792
laminectomy,CPT,63239
laminectomy,CPT,63038
laminectomy,CPT,62978
laminectomy,CPT,63150
laminectomy,CPT,62421
laminectomy,CPT,62564
laminectomy,CPT,62835
laminectomy,CPT,62662
laminectomy,CPT,62981
laminectomy,CPT,62753
laminectomy,CPT,62473
laminectomy,CPT,62533
laminectomy,CPT,62899
laminectomy,CPT,62506
laminectomy,CPT,62850
laminectomy,CPT,63065
laminectomy,CPT,62420
laminectomy,CPT,63184
laminectomy,CPT,62882
laminectomy,CPT,63012
laminectomy,CPT,62398
laminectomy,CPT,62433
laminectomy,CPT,62531
laminectomy,CPT,62758
laminectomy,CPT,63226
laminectomy,CPT,63153
laminectomy,CPT,62734
laminectomy,CPT,62424
laminectomy,CPT,63249
laminectomy,CPT,63004
laminectomy,CPT,62928
laminectomy,CPT,62955
laminectomy,CPT,62783
laminectomy,CPT,0275T
laminectomy,CPT,62383
laminectomy,CPT,63251
laminectomy,CPT,22861
laminectomy,CPT,62528
laminectomy,CPT,0274T
laminectomy,CPT,62705
laminectomy,CPT,63080
laminectomy,CPT,62676
laminectomy,CPT,62921
laminectomy,CPT,63090
laminectomy,CPT,62568
laminectomy,CPT,62901
laminectomy,CPT,63147
laminectomy,CPT,63190
laminectomy,CPT,63101
laminectomy,CPT,62985
laminectomy,CPT,62685
laminectomy,CPT,62923
laminectomy,CPT,62425
laminectomy,CPT,62496
laminectomy,CPT,62428
laminectomy,CPT,62729
laminectomy,CPT,63023
laminectomy,CPT,63149
laminectomy,CPT,62940
laminectomy,CPT,62618
laminectomy,CPT,62852
laminectomy,CPT,63221
laminectomy,CPT,62727
laminectomy,CPT,63087
laminectomy,CPT,63143
laminectomy,CPT,62824
laminectomy,CPT,62809
laminectomy,CPT,62950
laminectomy,CPT,62688
laminectomy,CPT,62670
laminectomy,CPT,62757
laminectomy,CPT,63006
